player_name,season,market_value_eur,univariate_prediction,multivariate_prediction,encoder_decoder_prediction,univariate_error,multivariate_error,encoder_decoder_error,univariate_mae,multivariate_mae,encoder_decoder_mae,season_encoded,team,position,position_encoded,current_age,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,univariate_error_pct,multivariate_error_pct,encoder_decoder_error_pct,market_value_lag1,market_value_lag2,univariate_lag1
Aarón Escandell Banacloche,2019/20,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Granada,Midfielder,3,25,15.8304,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,57.3708,0.0887,0.0473,0.1584,0.1476,0.3726,1,0,2,Positive,0.0,0.0,0.0,7500000.0,7500000.0,7500000.0
Aarón Escandell Banacloche,2020/21,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Granada,Midfielder,3,26,15.8304,1,estimated,676,0.9512,Prime,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,57.3708,0.0,0.132,-0.2365,0.2778,0.5556,0,1,2,Negative,0.0,0.0,0.0,7500000.0,7500000.0,7500000.0
Aarón Escandell Banacloche,2021/22,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Granada,Midfielder,3,27,15.8304,1,estimated,729,0.9048,Prime,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,57.3708,0.1447,0.0,0.2613,0.0028,0.3794,1,0,2,Positive,0.0,0.0,0.0,7500000.0,7500000.0,7500000.0
Aarón Escandell Banacloche,2022/23,4000000.0,4002754.75,4157124.5,4011139.5,-2754.75,-157124.5,-11139.5,2754.75,157124.5,11139.5,4,Granada,Midfielder,3,28,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,56.1136,0.2133,0.0833,0.0978,0.0,0.3833,2,1,0,Positive,-0.0688687327828168,-3.9281115179721207,-0.27848743037814244,7500000.0,7500000.0,7500000.0
Aarón Escandell Banacloche,2023/24,4000000.0,4012755.5,4109301.5,4229656.0,-12755.5,-109301.5,-229656.0,12755.5,109301.5,229656.0,5,Granada,Midfielder,3,29,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,56.1136,0.0,0.2523,-0.4503,0.0417,0.5648,0,3,0,Negative,-0.31888742027814493,-2.732536816865796,-5.741398564650359,4000000.0,7500000.0,4002754.75
Aarón Martín Caricol,2019/20,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Celta Vigo,Midfielder,3,25,15.8304,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.8208,0.0,0.1537,-0.2306,0.3083,0.7648,0,2,1,Negative,0.0,0.0,0.0,7500000.0,7500000.0,7500000.0
Aarón Martín Caricol,2020/21,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Celta Vigo,Midfielder,3,26,15.8304,1,estimated,676,0.9512,Prime,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.8208,0.0,0.231,-0.3868,0.3333,0.6333,0,2,1,Negative,0.0,0.0,0.0,7500000.0,7500000.0,7500000.0
Aarón Martín Caricol,2021/22,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Celta Vigo,Midfielder,3,27,15.8304,1,estimated,729,0.9048,Prime,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.8208,0.0,0.0833,-0.1529,0.1111,0.4056,0,1,2,Negative,0.0,0.0,0.0,7500000.0,7500000.0,7500000.0
Aarón Martín Caricol,2022/23,4000000.0,3996060.75,3827287.5,4095098.0,3939.25,172712.5,-95098.0,3939.25,172712.5,95098.0,4,Celta Vigo,Midfielder,3,28,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.5636,0.2553,0.1327,0.2838,0.2587,0.4476,2,0,1,Positive,0.09848122537969367,4.3178114205471445,-2.3774494056376487,7500000.0,7500000.0,7500000.0
Aarón Martín Caricol,2023/24,4000000.0,3981768.75,3865561.0,3673437.5,18231.25,134439.0,326562.5,18231.25,134439.0,326562.5,5,Celta Vigo,Midfielder,3,29,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.5636,0.0,0.1633,-0.2673,0.3417,0.3,0,2,1,Negative,0.455781136054716,3.36097415975646,8.164060458984885,4000000.0,7500000.0,3996060.75
