player_name,player_id,club_id,age,date,market_value_eur
Cristiano Ronaldo,8198,985,19,04-10-2004,18000000
Cristiano Ronaldo,8198,985,20,11-02-2005,22800000
Cristiano Ronaldo,8198,985,20,18-10-2005,26500000
Cristiano Ronaldo,8198,985,21,14-06-2006,25000000
Cristiano Ronaldo,8198,985,22,25-04-2007,34000000
Cristiano Ronaldo,8198,985,22,04-02-2008,50000000
Cristiano Ronaldo,8198,985,23,08-04-2008,55000000
Cristiano Ronaldo,8198,985,23,04-07-2008,60000000
Cristiano Ronaldo,8198,418,24,22-07-2009,70000000
Cristiano Ronaldo,8198,418,24,03-12-2009,70000000
Cristiano Ronaldo,8198,418,24,07-01-2010,75000000
Cristiano Ronaldo,8198,418,25,12-04-2010,75000000
Cristiano Ronaldo,8198,418,25,27-08-2010,90000000
Cristiano Ronaldo,8198,418,25,04-02-2011,90000000
Cristiano Ronaldo,8198,418,26,29-07-2011,90000000
Cristiano Ronaldo,8198,418,26,03-02-2012,90000000
Cristiano Ronaldo,8198,418,27,07-08-2012,100000000
Cristiano Ronaldo,8198,418,27,10-01-2013,100000000
Cristiano Ronaldo,8198,418,28,12-06-2013,100000000
Cristiano Ronaldo,8198,418,28,23-01-2014,100000000
Cristiano Ronaldo,8198,418,29,20-07-2014,100000000
Cristiano Ronaldo,8198,418,29,22-10-2014,120000000
Cristiano Ronaldo,8198,418,29,23-01-2015,120000000
Cristiano Ronaldo,8198,418,30,01-07-2015,120000000
Cristiano Ronaldo,8198,418,30,22-11-2015,110000000
Cristiano Ronaldo,8198,418,31,22-02-2016,110000000
Cristiano Ronaldo,8198,418,31,01-06-2016,110000000
Cristiano Ronaldo,8198,418,31,15-07-2016,110000000
Cristiano Ronaldo,8198,418,31,24-01-2017,100000000
Cristiano Ronaldo,8198,418,32,05-06-2017,100000000
Cristiano Ronaldo,8198,418,32,01-01-2018,120000000
Cristiano Ronaldo,8198,418,33,30-05-2018,100000000
Cristiano Ronaldo,8198,506,33,20-12-2018,100000000
Cristiano Ronaldo,8198,506,34,06-06-2019,90000000
Cristiano Ronaldo,8198,506,34,12-12-2019,75000000
Cristiano Ronaldo,8198,506,35,08-04-2020,60000000
Cristiano Ronaldo,8198,506,35,25-08-2020,60000000
Cristiano Ronaldo,8198,506,35,29-12-2020,60000000
Cristiano Ronaldo,8198,506,36,23-03-2021,50000000
Cristiano Ronaldo,8198,506,36,01-06-2021,45000000
Cristiano Ronaldo,8198,985,36,23-12-2021,35000000
Cristiano Ronaldo,8198,985,37,15-06-2022,30000000
Cristiano Ronaldo,8198,985,37,15-09-2022,20000000
Cristiano Ronaldo,8198,985,37,03-11-2022,20000000
Cristiano Ronaldo,8198,18544,38,12-06-2023,15000000
Cristiano Ronaldo,8198,18544,38,15-12-2023,15000000
Cristiano Ronaldo,8198,18544,39,04-06-2024,15000000
Cristiano Ronaldo,8198,18544,39,13-12-2024,12000000
Cristiano Ronaldo,8198,18544,40,27-05-2025,12000000
Cristiano Ronaldo,8198,18544,40,18-12-2025,12000000
Lionel Messi,28003,2464,17,20-12-2004,3000000
Lionel Messi,28003,131,18,28-12-2005,5000000
Lionel Messi,28003,131,18,20-01-2006,15000000
Lionel Messi,28003,131,20,26-07-2007,40000000
Lionel Messi,28003,131,20,12-09-2007,60000000
Lionel Messi,28003,131,20,04-02-2008,55000000
Lionel Messi,28003,131,21,10-07-2008,55000000
Lionel Messi,28003,131,21,26-01-2009,55000000
Lionel Messi,28003,131,21,28-04-2009,60000000
Lionel Messi,28003,131,22,22-07-2009,70000000
Lionel Messi,28003,131,22,03-12-2009,70000000
Lionel Messi,28003,131,22,07-01-2010,80000000
Lionel Messi,28003,131,22,12-04-2010,80000000
Lionel Messi,28003,131,23,27-08-2010,100000000
Lionel Messi,28003,131,23,04-02-2011,100000000
Lionel Messi,28003,131,24,29-07-2011,100000000
Lionel Messi,28003,131,24,03-02-2012,100000000
