player_id,player_name,season_year,position,fan_sentiment,media_sentiment,overall_sentiment
10,Miroslav Klose,2015,Attack,0.142080874,0.267432178,0.204756526
26,Roman Weidenfeller,2012,Goalkeeper,-0.026905324,0.210514144,0.09180441
26,Roman Weidenfeller,2015,Goalkeeper,0.403425068,0.02884597,0.216135519
277,SÃ©rgio da Silva Pinto,2013,Midfield,0.097041068,-0.165919998,-0.034439465
568,Martin Stranzl,2015,Defender,-0.168892618,0.25074249,0.040924936
1126,Matthias Lehmann,2015,Midfield,0.106904924,0.025051131,0.065978027
1277,Clemens Fritz,2015,Defender,-0.117259937,-0.090117142,-0.103688539
1331,Kevin Kuranyi,2015,Attack,-0.161253095,0.128241998,-0.016505549
1565,Alexander Meier,2015,Attack,0.392615947,0.035327328,0.213971638
1586,Christian Schulz,2015,Defender,-0.237094537,0.136428202,-0.050333167
1662,Sascha Riether,2015,Defender,0.544318192,0.207288114,0.375803153
1726,Heiko Westermann,2015,Defender,0.012916582,0.210706977,0.11181178
1784,RenÃ© Adler,2015,Goalkeeper,0.002600621,-0.380765283,-0.189082331
1986,Markus Feulner,2015,Midfield,0.232028155,0.32979405,0.280911103
2219,Philipp Lahm,2012,Defender,0.594897838,0.648057281,0.62147756
2219,Philipp Lahm,2015,Defender,0.046491251,0.326519251,0.186505251
2233,Christian Lell,2012,Defender,-0.21313942,0.177303548,-0.017917936
2514,Bastian Schweinsteiger,2012,Midfield,0.254092007,0.336914559,0.295503283
2514,Bastian Schweinsteiger,2015,Midfield,-0.095380847,0.065154289,-0.015113279
2623,Piotr Trochowski,2012,Midfield,-0.26028355,0.17978808,-0.040247735
2623,Piotr Trochowski,2013,Midfield,0.567939835,0.00216685,0.285053343
2623,Piotr Trochowski,2015,Midfield,0.225704283,0.517711148,0.371707716
2865,Stephan Lichtsteiner,2014,Defender,-0.169554396,0.029320031,-0.070117182
2865,Stephan Lichtsteiner,2015,Defender,0.08604843,0.151470538,0.118759484
2865,Stephan Lichtsteiner,2018,Defender,0.461064314,0.042091708,0.251578011
2923,Andreas Ivanschitz,2013,Midfield,-0.135765847,0.119853589,-0.007956129
2923,Andreas Ivanschitz,2014,Midfield,0.067245031,-0.050743075,0.008250978
2926,GyÃ¶rgy Garics,2015,Defender,0.470243676,-0.245379383,0.112432146
2998,Robert Huth,2015,Defender,-0.145751854,0.311329519,0.082788833
3146,Shay Given,2015,Goalkeeper,0.739263567,0.108772312,0.424017939
3160,John Terry,2015,Defender,-0.13942339,0.094420704,-0.022501343
3256,Roberto Hilbert,2015,Defender,-0.031220261,-0.010536623,-0.020878442
3291,Gareth Barry,2015,Midfield,-0.050492541,-0.150520942,-0.100506742
3306,Jonathan Walters,2015,Attack,-0.152743113,0.036038069,-0.058352522
3356,Sylvain Distin,2015,Defender,0.209245551,0.119308222,0.164276886
3405,Wes Brown,2015,Defender,-0.663630537,0.131478678,-0.266075929
3455,Zlatan IbrahimoviÄ‡,2015,Attack,0.442113913,0.572392316,0.507253115
3495,Dudu Aouate,2012,Goalkeeper,0.260328244,-0.060753225,0.099787509
